train/n_updates,train/explained_variance,train/value_loss,train/learning_rate,time/iterations,train/policy_loss,time/fps,train/std,time/time_elapsed,train/entropy_loss,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean
60099,-0.007811307907104492,0.0023986997548490763,0.0007,100,-0.09236812591552734,853,0.48120564222335815,0,-2.499235153198242,500,,
60199,-16.81561279296875,0.033009257167577744,0.0007,200,0.1324469894170761,859,0.4826503098011017,1,-2.512651205062866,1000,718.0,-124.529844
60299,-14.091057777404785,0.06316091865301132,0.0007,300,-0.513310432434082,863,0.482678085565567,1,-2.5191094875335693,1500,481.6666666666667,-125.77040066666666
60399,-0.9329102039337158,0.44474267959594727,0.0007,400,-2.1514480113983154,867,0.4824545979499817,2,-2.5258541107177734,2000,275.85714285714283,-113.50569785714285
60499,-110.12527465820312,0.9945312738418579,0.0007,500,2.0292816162109375,868,0.48032379150390625,2,-2.5049571990966797,2500,225.0,-109.54799172727274
60599,-0.012172222137451172,0.039545830339193344,0.0007,600,0.025244398042559624,869,0.48011523485183716,3,-2.497042179107666,3000,195.73333333333332,-107.08250126666667
60699,0.9860233068466187,0.0005277275340631604,0.0007,700,-0.027125975117087364,870,0.4785812199115753,4,-2.4850823879241943,3500,173.55,-106.05417804999999
60799,-3.97471284866333,1.8469603061676025,0.0007,800,4.224746227264404,870,0.47957542538642883,4,-2.5017011165618896,4000,158.0,-105.66020135999999
60899,0.3730980157852173,0.00761346286162734,0.0007,900,-0.09304828196763992,870,0.4784751534461975,5,-2.4990899562835693,4500,144.1290322580645,-105.37422770967741
60999,-0.9644180536270142,0.4191358983516693,0.0007,1000,-1.6677881479263306,868,0.4791102111339569,5,-2.5073132514953613,5000,134.51351351351352,-105.2946767027027
61099,0.982813835144043,0.002072100294753909,0.0007,1100,0.12538397312164307,868,0.4787769317626953,6,-2.4948537349700928,5500,130.28571428571428,-105.64470876190478
61199,-1.8780794143676758,1.622680902481079,0.0007,1200,3.2923524379730225,868,0.47869518399238586,6,-2.4970901012420654,6000,123.52083333333333,-105.21289643749999
61299,-3.8080053329467773,0.08654315769672394,0.0007,1300,-0.287552148103714,867,0.47536414861679077,7,-2.466003179550171,6500,113.7719298245614,-104.73335359649123
61399,-9.256555557250977,3.3991525173187256,0.0007,1400,-3.8597962856292725,868,0.4753435254096985,8,-2.4689385890960693,7000,112.19354838709677,-104.3906460967742
61499,-31.70001983642578,2.034506320953369,0.0007,1500,2.5899832248687744,868,0.47659653425216675,8,-2.4820001125335693,7500,111.05970149253731,-104.42296511940299
61599,-4.17474365234375,1.195027470588684,0.0007,1600,1.3364852666854858,869,0.4796907901763916,9,-2.5049996376037598,8000,111.8169014084507,-104.41165611267606
61699,-0.013815760612487793,0.409335196018219,0.0007,1700,-1.3426226377487183,869,0.48024892807006836,9,-2.510967254638672,8500,111.96,-104.47240457333334
61799,0.37858980894088745,0.06894069164991379,0.0007,1800,0.3901093602180481,870,0.47844570875167847,10,-2.4983670711517334,9000,112.78481012658227,-104.46550367088606
61899,-6.254386901855469,2.2462470531463623,0.0007,1900,-4.0790534019470215,869,0.48039186000823975,10,-2.5102148056030273,9500,111.15294117647059,-104.64480603529414
61999,0.2513139247894287,0.14771199226379395,0.0007,2000,0.14060047268867493,869,0.4784741699695587,11,-2.4988248348236084,10000,108.67391304347827,-104.45136782608697
62099,-140.65733337402344,3.0913734436035156,0.0007,2100,3.7890164852142334,869,0.480990469455719,12,-2.518707275390625,10500,108.03092783505154,-104.34046784536083
62199,0.21085470914840698,0.038799043744802475,0.0007,2200,0.42941299080848694,869,0.48161011934280396,12,-2.521043062210083,11000,112.10204081632654,-104.5279545
62299,-17.953018188476562,0.30606910586357117,0.0007,2300,0.9192571640014648,870,0.482632040977478,13,-2.5250344276428223,11500,107.02,-104.27425262999999
