time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/n_updates,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/std,train/policy_gradient_loss,train/entropy_loss,train/approx_kl
1486,1,907.5,141.8525315,1,2048,,,,,,,,,,,
1195,2,758.5,112.7410565,3,4096,1480,0.912888765335083,20.05129017159343,0.2,1.3140854835510254,0.17177734375,0.0003,0.5738741159439087,-0.006811386099434458,-3.4111991129815578,0.022891605
1120,3,695.5,96.64533100000001,5,6144,1490,0.8464992046356201,6.173871444910764,0.2,2.2399606704711914,0.210693359375,0.0003,0.5704302191734314,-0.0071528458633110855,-3.3981574445962908,0.025880989
1088,4,592.8461538461538,53.03938000000001,7,8192,1500,0.9505241513252258,20.11341824159026,0.2,10.211536407470703,0.09970703125,0.0003,0.5723322629928589,-0.007999006580212154,-3.387290984392166,0.01075734
1068,5,636.0,70.414801125,9,10240,1510,0.912678599357605,58.158453112840654,0.2,17.180747985839844,0.07392578125,0.0003,0.5711735486984253,-0.009621996559144464,-3.3892507001757624,0.008131574
1057,6,652.3888888888889,73.09913305555555,11,12288,1520,0.8717172145843506,14.431241608411074,0.2,5.3896708488464355,0.20634765625,0.0003,0.568325936794281,-0.007074779257527553,-3.373285733163357,0.014460477
1048,7,678.3,75.24659284999998,13,14336,1530,0.8489258289337158,15.993231000378728,0.2,3.364281415939331,0.171142578125,0.0003,0.5681050419807434,-0.004955139628145843,-3.3593938276171684,0.0142773865
1042,8,729.9090909090909,93.041039,15,16384,1540,0.9039905071258545,20.554619474336505,0.2,6.737059593200684,0.177197265625,0.0003,0.5669479370117188,-0.011096765921683982,-3.3567891612648966,0.011549652
1037,9,728.0,87.74425636,17,18432,1550,-0.12386739253997803,14.669658389687537,0.2,5.1095709800720215,0.148828125,0.0003,0.5644806623458862,-0.003681081875402015,-3.348180352151394,0.011485472
1034,10,749.7692307692307,94.70166303846153,19,20480,1560,0.9065055847167969,40.8758244395256,0.2,29.792938232421875,0.12353515625,0.0003,0.5632650852203369,-0.01170805377769284,-3.33272961974144,0.010714972
1032,11,760.1724137931035,99.11879293103448,21,22528,1570,0.26145172119140625,5.422309159114957,0.2,1.912069320678711,0.283154296875,0.0003,0.5611828565597534,-0.006983252300415188,-3.323593761026859,0.025262464
1030,12,763.53125,99.6762106875,23,24576,1580,0.9542968273162842,10.271501369401813,0.2,3.063749074935913,0.207763671875,0.0003,0.5576387643814087,-0.008792847793665714,-3.3081210657954214,0.01751307
1029,13,776.0909090909091,104.94575906060606,25,26624,1590,0.8831117153167725,19.976143578439952,0.2,8.090423583984375,0.19091796875,0.0003,0.5566636323928833,-0.009208314371062443,-3.295149752497673,0.018911378
1026,14,787.9166666666666,107.50619080555558,27,28672,1600,0.4520644545555115,2.4216517212800683,0.2,0.6772006154060364,0.30341796875,0.0003,0.5563048124313354,-0.0024368565689655954,-3.286286523193121,0.023045888
1025,15,798.8648648648649,111.94106724324327,29,30720,1610,0.922509491443634,22.474721660465,0.2,10.960017204284668,0.154248046875,0.0003,0.5564042329788208,-0.009881351512740366,-3.2850310772657396,0.014172999
1024,16,820.2564102564103,120.12016420512823,31,32768,1620,0.5508277416229248,2.585670687444508,0.2,0.3541921079158783,0.262548828125,0.0003,0.559569776058197,-0.005980867252219468,-3.3022565208375454,0.023006067
1024,17,826.952380952381,123.01364752380955,33,34816,1630,0.8013026714324951,10.627999070845544,0.2,0.8937216997146606,0.130810546875,0.0003,0.5589417219161987,-0.006800358199689072,-3.3134543798863887,0.010829845
1023,18,835.5813953488372,126.498950627907,36,36864,1640,0.78118896484375,14.73681843802333,0.2,1.5353955030441284,0.088916015625,0.0003,0.557770848274231,-0.005820207644137554,-3.3047914050519465,0.00702768
1022,19,853.3777777777777,132.95271348888892,38,38912,1650,0.36816906929016113,3.6783061848953365,0.2,2.2265634536743164,0.206884765625,0.0003,0.5626239776611328,-0.009729777797474526,-3.3138893976807595,0.020221328
1021,20,865.8723404255319,139.09447721276598,40,40960,1660,0.5172499418258667,5.292205253243447,0.2,5.259499549865723,0.25205078125,0.0003,0.5594757795333862,-0.013705110718728975,-3.3184039771556852,0.021326778
1020,21,876.8775510204082,144.66839667346937,42,43008,1670,0.2714647054672241,4.302982946671546,0.2,0.5151839852333069,0.212646484375,0.0003,0.5514005422592163,-0.008172893471783026,-3.276627331227064,0.015040679
1017,22,863.4313725490196,138.84021237254902,44,45056,1680,0.6343055963516235,5.399689462408423,0.2,1.3056305646896362,0.169873046875,0.0003,0.550433874130249,-0.008823739638319238,-3.244013258069754,0.015186013
1016,23,869.8888888888889,142.2763014074074,46,47104,1690,0.9257801175117493,4.5479579623788595,0.2,1.0168170928955078,0.1576171875,0.0003,0.55289626121521,-0.01142092398222303,-3.2494693525135516,0.015716735
1016,24,855.2456140350877,138.63685624561404,48,49152,1700,0.9135974645614624,14.42163287885487,0.2,3.1492156982421875,0.143017578125,0.0003,0.5522139668464661,-0.007126005602185614,-3.258421415090561,0.009377849
1015,25,851.8833333333333,138.92152595000002,50,51200,1710,0.9235623478889465,29.5804775968194,0.2,11.066293716430664,0.129443359375,0.0003,0.5512776374816895,-0.01369612709095236,-3.2504717141389845,0.011742349
1014,26,856.360655737705,141.1928419180328,52,53248,1720,0.9013603925704956,7.916945031657815,0.2,5.67072868347168,0.178759765625,0.0003,0.550125777721405,-0.007321976036473643,-3.241101711988449,0.018163688
1014,27,866.5079365079365,145.4005335079365,54,55296,1730,0.42085742950439453,2.373034711973742,0.2,2.598829507827759,0.30029296875,0.0003,0.5484983921051025,-0.00706385784142185,-3.23415372595191,0.026895244
1014,28,877.123076923077,149.25703036923076,56,57344,1740,0.4323934316635132,4.949341639969498,0.2,1.086724042892456,0.1998046875,0.0003,0.551007091999054,-0.006814828002825379,-3.2373201407492163,0.018283691
1013,29,885.9104477611941,152.94472076119402,58,59392,1750,0.45099401473999023,4.399906019400805,0.2,0.3187711834907532,0.22958984375,0.0003,0.5501838326454163,-0.00635719571437221,-3.238715619593859,0.021099623
1013,30,878.3623188405797,150.74011759420287,60,61440,1760,0.4071073532104492,5.167699286527932,0.2,4.399171829223633,0.2310546875,0.0003,0.5514849424362183,-0.010125127516221254,-3.244104555994272,0.026168052
1013,31,885.7183098591549,154.26848714084505,62,63488,1770,0.9685389399528503,3.564630377944559,0.2,2.1546013355255127,0.203466796875,0.0003,0.5544310808181763,-0.006215752055868507,-3.2501835830509664,0.018892799
1013,32,893.8767123287671,157.50450393150686,64,65536,1780,0.5458974838256836,4.557659900374711,0.2,5.533425807952881,0.2236328125,0.0003,0.5566715002059937,-0.007228614532505162,-3.2768419489264486,0.01667706
1013,33,899.7733333333333,160.70191638666665,66,67584,1790,0.5847065448760986,4.30703885667026,0.2,4.487339019775391,0.257861328125,0.0003,0.5548021793365479,-0.00888972932298202,-3.2774688839912414,0.01975764
1012,34,903.3026315789474,162.18837760526313,68,69632,1800,0.5086296200752258,5.039670542627573,0.2,3.702824115753174,0.24609375,0.0003,0.5552449226379395,-0.00941308703913819,-3.272675149142742,0.019528966
1012,35,909.0769230769231,165.12083369230766,70,71680,1810,0.47417593002319336,2.9308064226992427,0.2,0.5408831238746643,0.25654296875,0.0003,0.5525109171867371,-0.009594540172838607,-3.2660177655518057,0.025095694
1012,36,914.8625,167.8848754,72,73728,1820,0.4492363929748535,5.3352360082790256,0.2,6.025557518005371,0.20068359375,0.0003,0.553712010383606,-0.010751256192452274,-3.255241963267326,0.013180785
1012,37,911.6506024096385,167.48442295180723,74,75776,1830,0.49499690532684326,5.061794498283416,0.2,2.878502130508423,0.209814453125,0.0003,0.5533679723739624,-0.00604965391830774,-3.2634238965809343,0.015406204
1011,38,913.4642857142857,168.84788225000003,76,77824,1840,0.8491697311401367,9.061951706930994,0.2,0.455596923828125,0.1712890625,0.0003,0.5525757074356079,-0.007264075384591706,-3.2549778640270235,0.014446827
1011,39,910.1494252873563,167.81500850574716,78,79872,1850,0.6173142790794373,2.5850156398955733,0.2,0.1697193831205368,0.219775390625,0.0003,0.5559242963790894,-0.009746281168190762,-3.2633310206234456,0.018561717
1011,40,901.1444444444444,163.11891114444447,81,81920,1860,0.9449748992919922,7.709860797785223,0.2,2.310540199279785,0.14375,0.0003,0.5565677881240845,-0.009748364833649248,-3.275285068154335,0.009977072
1011,41,905.7391304347826,165.6170993804348,83,83968,1870,0.8842256665229797,31.799113408476114,0.2,18.54909896850586,0.049951171875,0.0003,0.5559219121932983,-0.0072938070894451815,-3.277852687984705,0.007146297
1010,42,903.1157894736842,164.4882347263158,85,86016,1880,0.46187883615493774,5.0261535044759516,0.2,4.935196399688721,0.221435546875,0.0003,0.5554101467132568,-0.007798353041289374,-3.2749641977250574,0.019020561
1010,43,897.1836734693877,162.44237954081635,87,88064,1890,0.9025218486785889,17.245478680729867,0.2,10.076903343200684,0.160888671875,0.0003,0.5559303760528564,-0.006996589244226925,-3.2763179421424864,0.011263718
1010,44,900.0808080808081,163.55250503030305,89,90112,1900,0.9292734265327454,18.71237760335207,0.2,17.223772048950195,0.1244140625,0.0003,0.555168628692627,-0.007084380331798456,-3.2779399797320368,0.018937942
1010,45,895.81,163.52548258000002,91,92160,1910,0.18067342042922974,2.5548317139968275,0.2,0.194668248295784,0.263525390625,0.0003,0.5482339859008789,-0.009272105795389507,-3.242886458337307,0.02050966
1009,46,906.58,167.35456244,93,94208,1920,0.8324640989303589,8.231777366250753,0.2,5.8951005935668945,0.14560546875,0.0003,0.5471725463867188,-0.0063572659375495276,-3.221816501766443,0.011821352
1009,47,906.99,167.27825214,95,96256,1930,0.5430004596710205,4.659234450105577,0.2,1.2142664194107056,0.221923828125,0.0003,0.5461462736129761,-0.006975558085832745,-3.2172137439250945,0.021408938
1009,48,916.58,171.23646921,97,98304,1940,0.43878042697906494,5.224125932343304,0.2,1.550381064414978,0.2076171875,0.0003,0.5473315119743347,-0.006140172257437371,-3.2108185976743697,0.018905517
1009,49,930.07,176.00076615999998,99,100352,1950,0.5001866817474365,2.739310620073229,0.2,0.26464197039604187,0.2353515625,0.0003,0.5452948808670044,-0.007586235535563901,-3.213112881779671,0.017063845
1008,50,939.62,180.61198789,101,102400,1960,0.8983677625656128,5.747116274386644,0.2,2.5645928382873535,0.2025390625,0.0003,0.5441484451293945,-0.01001232530688867,-3.2023987799882887,0.01583984
1007,51,961.34,188.31960867,103,104448,1970,0.4384973645210266,5.266436164360494,0.2,3.3523733615875244,0.16005859375,0.0003,0.541617751121521,-0.004490700938913505,-3.187661937624216,0.015053654
1007,52,965.67,188.9914261,105,106496,1980,0.5139679908752441,4.891721512097865,0.2,1.712570309638977,0.221240234375,0.0003,0.5376207232475281,-0.012483408156549558,-3.1617566265165804,0.019138662
1007,53,967.31,190.65845213,107,108544,1990,0.9043676257133484,28.43436641059816,0.2,2.533947467803955,0.168603515625,0.0003,0.536807119846344,-0.010749865011894144,-3.1439011096954346,0.014288906
1007,54,940.49,182.81637779000002,109,110592,2000,0.9051352739334106,19.59908975828439,0.2,5.0681962966918945,0.19365234375,0.0003,0.5351074934005737,-0.008046244332217612,-3.134846121072769,0.015689982
