train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/learning_rate,time/fps,time/episodes,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,train/critic_loss,time/total_timesteps
303524,931.25,21,-6.2349772453308105,0.0003,172,4,182.124618,0.43145084381103516,0.007090446073561907,0.15501633286476135,3725
307109,913.75,42,-5.537764072418213,0.0003,171,8,183.3924455,2.3204846382141113,0.007361104711890221,0.18178948760032654,7310
311540,978.4166666666666,68,-7.642659664154053,0.0003,170,12,218.08951475,-0.8483748435974121,0.007288727443665266,0.047688841819763184,11741
315968,1010.5625,94,-6.351601600646973,0.0003,170,16,235.7332575625,-0.8917680978775024,0.007843679748475552,0.13122780621051788,16169
320115,1015.8,119,-7.375709056854248,0.0003,170,20,233.93150205,-1.163987159729004,0.0077447122894227505,0.2494642436504364,20316
324581,1032.5833333333333,145,-8.25500774383545,0.0003,170,24,242.85097625,-0.6551000475883484,0.007557420991361141,0.07880997657775879,24782
328796,1035.607142857143,170,-7.9909987449646,0.0003,169,28,249.80766610714286,-1.0638995170593262,0.007784313056617975,0.07862356305122375,28997
333076,1039.90625,196,-7.620038986206055,0.0003,169,32,250.2978651875,0.45240598917007446,0.00756222615018487,0.1834689974784851,33277
337289,1041.388888888889,221,-9.055221557617188,0.0003,169,36,254.78570819444445,-1.3844940662384033,0.0076575796119868755,1.0003273487091064,37490
341092,1032.325,243,-7.67116117477417,0.0003,169,40,255.40065590000003,0.8183091878890991,0.007569368928670883,0.40375232696533203,41293
344396,1013.5681818181819,263,-8.066145896911621,0.0003,169,44,252.86505040909094,0.12846976518630981,0.007442911621183157,0.2389681488275528,44597
348365,1011.7916666666666,286,-9.822516441345215,0.0003,169,48,256.383067875,0.9404014945030212,0.007821009494364262,0.11957292258739471,48566
352214,1007.9807692307693,309,-9.063796043395996,0.0003,169,52,259.4708576346154,0.5834777355194092,0.008299693465232849,0.18995577096939087,52415
355684,997.9464285714286,330,-9.229938507080078,0.0003,169,56,257.3795765892857,0.16747915744781494,0.00883141253143549,0.3990599513053894,55885
359493,994.9,352,-10.216028213500977,0.0003,169,60,260.19360386666665,-0.06502200663089752,0.008406007662415504,0.26211845874786377,59694
363206,990.734375,374,-10.217292785644531,0.0003,169,64,262.783767140625,0.29371434450149536,0.00833904929459095,0.10058698058128357,63407
366133,975.5,391,-10.782655715942383,0.0003,169,68,260.25983623529413,0.0021989643573760986,0.008672053925693035,3.6171188354492188,66334
369676,970.5138888888889,412,-11.341445922851562,0.0003,169,72,262.6913758472222,-0.667449414730072,0.00851739663630724,0.17654675245285034,69877
373307,967.2105263157895,434,-10.060558319091797,0.0003,169,76,264.80263727631586,-0.6691506505012512,0.009074762463569641,1.610349178314209,73508
376870,963.3875,455,-12.24699592590332,0.0003,169,80,266.69068021249996,-0.21380263566970825,0.008915877901017666,0.12855830788612366,77071
380206,957.2261904761905,474,-12.278443336486816,0.0003,169,84,266.0256318333333,-0.6494738459587097,0.008652846328914165,0.06609979271888733,80407
383676,953.1477272727273,495,-12.545307159423828,0.0003,169,88,267.7342235,-0.003281503915786743,0.00885063223540783,0.1337757110595703,83877
387230,950.3369565217391,516,-12.888450622558594,0.0003,169,92,269.29618294565216,-0.8592050075531006,0.009157666005194187,0.0814964771270752,87431
390734,947.2395833333334,536,-12.255975723266602,0.0003,169,96,270.78866311458336,0.37553322315216064,0.00963890552520752,0.15493839979171753,90935
393969,941.7,555,-13.829910278320312,0.0003,169,100,269.1018865,1.4573101997375488,0.009184841997921467,0.13706345856189728,94170
397483,939.59,576,-13.730697631835938,0.0003,169,104,273.9536452699999,-1.7330471277236938,0.008785229176282883,0.17395415902137756,97684
401130,940.21,598,-14.370415687561035,0.0003,169,108,278.67942431,1.3604788780212402,0.008698525838553905,0.33857178688049316,101331
404587,930.47,618,-14.7193021774292,0.0003,169,112,279.33952937000004,-0.9592052102088928,0.009013468399643898,0.07687287032604218,104788
408122,921.54,639,-14.759330749511719,0.0003,169,116,279.87589261,0.46891510486602783,0.009113037958741188,0.9510766267776489,108323
411573,914.58,659,-14.26036548614502,0.0003,169,120,282.92582369999997,0.5316876769065857,0.00901312381029129,0.1869392693042755,111774
415021,904.4,679,-15.408063888549805,0.0003,169,124,283.58385418,-0.3769600987434387,0.009366683661937714,0.13914155960083008,115222
418111,893.15,697,-16.0056095123291,0.0003,169,128,280.98358342999995,-1.4201642274856567,0.008871912024915218,0.14085201919078827,118312
421496,884.2,717,-16.274263381958008,0.0003,169,132,283.0085220099999,2.1267013549804688,0.008849041536450386,0.07392759621143341,121697
424862,875.73,737,-15.466529846191406,0.0003,169,136,283.58494589,0.9048452377319336,0.00910903699696064,0.2729421854019165,125063
428267,871.75,756,-14.469060897827148,0.0003,169,140,285.32101299999994,1.4128743410110474,0.009454269893467426,0.16474765539169312,128468
431723,873.27,777,-15.302026748657227,0.0003,169,144,288.34355739,-0.31986069679260254,0.009530729614198208,0.0769825279712677,131924
434997,866.32,796,-15.701904296875,0.0003,169,148,285.35194079999997,-0.0687444806098938,0.009296305477619171,0.21697565913200378,135198
438413,861.99,816,-15.466602325439453,0.0003,169,152,285.63099169000003,-0.0289078950881958,0.009152327664196491,0.30551469326019287,138614
441815,861.31,836,-16.87398338317871,0.0003,169,156,288.5597059,0.7307273149490356,0.008902257308363914,0.2051675021648407,142016
445207,857.14,856,-16.265731811523438,0.0003,169,160,288.74385407,-1.4726250171661377,0.009298327378928661,0.15165545046329498,145408
448611,854.05,877,-17.563640594482422,0.0003,169,164,288.90788090999996,1.5437748432159424,0.00897221639752388,0.3200960159301758,148812
451938,858.05,896,-17.35879135131836,0.0003,169,168,292.34751517,-0.6875877380371094,0.009287107735872269,0.08595480024814606,152139
455408,857.32,917,-16.6817626953125,0.0003,169,172,292.38299038,-0.6540272235870361,0.009273464791476727,0.09468317776918411,155609
458801,854.94,937,-17.256725311279297,0.0003,169,176,292.54760546,1.963865041732788,0.008706106804311275,0.08400209993124008,159002
462309,854.39,958,-15.899552345275879,0.0003,169,180,292.64616500000005,2.267404317855835,0.008848421275615692,2.5989434719085693,162510
465779,855.73,978,-16.280628204345703,0.0003,169,184,294.75247444,1.0300748348236084,0.008909779600799084,0.15293826162815094,165980
469270,855.94,998,-18.5677490234375,0.0003,169,188,294.80270993,-0.34331369400024414,0.008842258714139462,0.09518186748027802,169471
472609,853.79,1018,-18.601131439208984,0.0003,169,192,294.95478102,1.6285104751586914,0.009175552055239677,0.1827078014612198,172810
475990,852.56,1038,-16.508834838867188,0.0003,169,196,294.99446068,1.1567251682281494,0.008958501741290092,0.21253235638141632,176191
479382,854.13,1058,-18.3575382232666,0.0003,169,200,298.11394337,0.002911493182182312,0.008536221459507942,0.19007398188114166,179583
482810,853.27,1078,-15.87450122833252,0.0003,169,204,298.27033214999994,0.8134961128234863,0.00850728154182434,0.3088979125022888,183011
486202,850.72,1098,-18.869892120361328,0.0003,169,208,298.40764473,-0.05131298303604126,0.008966331370174885,0.06242405250668526,186403
489580,849.93,1118,-16.761184692382812,0.0003,169,212,298.52359676,1.770770788192749,0.009005446918308735,0.13124656677246094,189781
492962,848.4,1138,-18.409515380859375,0.0003,169,216,298.73207693,0.46500062942504883,0.008963001891970634,0.158712238073349,193163
496260,846.87,1158,-19.305767059326172,0.0003,169,220,298.94870550999997,-0.6112788319587708,0.008931736461818218,0.08552849292755127,196461
499580,845.59,1177,-16.97933578491211,0.0003,169,224,299.15717791,-1.1155158281326294,0.009001399390399456,1.3391335010528564,199781
502830,847.19,1197,-19.455711364746094,0.0003,169,228,301.18709659,0.7226955890655518,0.008937411941587925,0.13796019554138184,203031
506129,846.33,1216,-18.935688018798828,0.0003,169,232,301.33375541,-1.0289268493652344,0.00912431813776493,0.10981108248233795,206330
509354,844.92,1235,-19.007434844970703,0.0003,169,236,301.52444623,-0.2543337941169739,0.008943052031099796,0.14439845085144043,209555
512717,844.5,1255,-17.980201721191406,0.0003,169,240,301.65960549000005,0.2564656734466553,0.009075921960175037,0.32020294666290283,212918
516046,843.23,1275,-19.10452651977539,0.0003,169,244,301.87771967000003,-0.593478798866272,0.009161933325231075,0.14649973809719086,216247
519393,843.96,1294,-19.818283081054688,0.0003,169,248,305.37323026999997,-0.2770015597343445,0.009792087599635124,0.12091074883937836,219594
522722,843.09,1314,-20.554603576660156,0.0003,169,252,305.53393966,0.3557724952697754,0.009398256428539753,0.08895803987979889,222923
526149,843.34,1334,-20.24102210998535,0.0003,169,256,305.73565392999996,0.28821155428886414,0.009052509441971779,0.2083318531513214,226350
529407,842.0,1353,-19.34206199645996,0.0003,169,260,305.89903984999995,0.10320904850959778,0.00930330716073513,0.4518892765045166,229608
532684,840.73,1373,-20.20012664794922,0.0003,169,264,306.03877344,1.9955980777740479,0.00888427346944809,0.05537880212068558,232885
