#{"t_start": 1760833005.378652, "env_id": "BipedalWalker-v3"}
r,l,t
-9.798506,1600,13.585917
-8.656565,1600,14.520823
-11.372674,1600,15.429764
-7.921534,1600,16.35674
-7.096789,1600,17.239594
-99.070778,103,29.929967
-98.153359,100,29.985252
-98.303689,99,30.040045
-98.673604,104,30.096522
-98.512649,102,30.153418
-94.282628,93,42.836685
-94.604157,91,42.885577
-94.721635,86,42.932813
-94.666678,90,42.980661
-95.169131,87,43.028778
-98.322231,60,55.669338
-107.68494,72,55.709189
-98.164764,61,55.74352
-107.885929,72,55.78378
-98.348462,60,55.817539
-97.387908,106,68.498839
-96.902069,103,68.55538
-97.574127,101,68.610621
-97.963708,95,68.662458
-97.488757,101,68.719325
-119.133254,113,81.517388
-118.585952,97,81.571711
-118.866798,94,81.624173
-118.437567,94,81.67693
-116.169088,93,81.728594
-104.39887,328,94.468766
-48.07972,1600,95.316298
-27.45987,1600,96.149266
-30.157102,1600,96.989808
13.174159,1600,97.82451
-53.201792,1600,111.30151
-53.679818,1600,112.149357
-58.378573,1600,113.060804
-56.736135,1600,113.906194
-76.278981,1600,114.762129
-80.78144,591,127.598943
-33.492062,1600,128.434623
-18.195521,1265,129.09798
-30.872149,1600,129.944299
-87.129206,1600,130.7681
14.452605,1600,144.128158
103.173313,1600,144.980448
125.877348,1600,145.823443
-10.74254,1600,146.658799
105.097809,1600,147.512631
121.174731,1600,160.735057
96.36871,1600,161.583433
-37.883977,1051,162.139536
-93.498921,696,162.50931
-108.113992,365,162.704207
-65.714704,1600,176.075161
-29.627484,1355,176.782471
-67.998812,1600,177.610582
-67.915964,1600,178.43768
-67.902886,1600,179.267586
202.945976,1600,192.762646
167.459706,1600,193.593359
170.415731,1600,194.424281
154.374321,1600,195.258411
164.501389,1600,196.088542
210.502899,1600,209.417584
215.275613,1600,210.258867
206.121677,1600,211.09948
183.441215,1600,211.943808
217.518214,1572,212.768074
190.346053,1600,226.17323
215.829162,1600,227.026653
220.216616,1553,227.852304
214.183314,1592,228.70133
211.273374,1600,229.560709
-103.453809,221,242.173033
-108.606849,215,242.288596
-103.914348,148,242.368986
-104.984201,115,242.431272
-105.340195,159,242.518452
21.859255,742,255.313621
-68.337512,321,255.498041
-18.092722,503,255.76064
233.977103,1382,256.485786
-3.627155,656,256.830043
-91.754855,161,269.499882
-93.579321,159,269.584886
-94.200051,152,269.666114
-56.430556,340,269.846137
-94.313888,152,269.933475
221.073574,1463,283.166255
212.22689,1544,284.030385
212.240432,1563,284.930114
216.52702,1502,285.731587
219.432351,1475,286.52069
-110.113355,53,299.067689
-109.992381,53,299.097937
-110.005095,53,299.127648
-110.011618,53,299.157344
-110.070366,53,299.187065
34.878757,984,312.230641
-84.366711,362,312.420004
143.536224,1600,313.244152
23.744351,1225,313.890812
93.377463,1292,314.583186
234.801097,1321,327.711882
233.963008,1337,328.407167
233.043221,1343,329.1124
230.353388,1366,329.827178
231.407044,1353,330.531285
129.222181,1130,343.513381
-74.786484,310,343.676767
-71.109461,248,343.808245
-23.984369,517,344.079134
54.153775,836,344.51926
78.090533,924,357.508351
79.774047,967,358.027204
247.91504,1211,358.671442
-51.263902,381,358.874609
-74.627615,283,359.02613
243.425938,1228,372.270425
242.626707,1239,372.917772
241.87696,1241,373.565257
243.751218,1209,374.197731
244.754846,1217,374.837158
-30.393918,443,387.703402
245.176967,1221,388.403569
-14.422176,495,388.667951
251.64651,1156,389.277756
-57.737412,310,389.443857
-103.681964,52,401.965964
-103.693857,52,401.995525
-103.82375,52,402.025478
-103.244387,57,402.057821
-103.595999,52,402.087276
-102.74737,57,414.556209
-103.088853,69,414.593705
-102.963784,57,414.625405
-102.974808,57,414.657167
-102.984521,57,414.68865
-102.330574,58,427.042843
-102.349745,58,427.074839
-101.923153,58,427.107205
-102.243082,58,427.139356
