#{"t_start": 1760876025.181438, "env_id": "BipedalWalker-v3"}
r,l,t
-97.784809,73,10.900514
-97.849789,75,10.943516
-97.633797,73,10.985516
-97.769839,74,11.027978
-97.778525,74,11.070239
-12.929053,1600,23.673063
-12.768093,1600,24.588663
-7.736396,1600,25.477571
-7.499894,1600,26.381124
-11.647536,1600,27.326213
-42.051857,1600,39.96746
-41.691787,1600,40.822899
-41.935956,1600,41.711287
-41.286682,1600,42.569992
-36.912102,1600,43.446081
-48.649178,1600,55.992154
-46.286429,1600,56.843388
-44.169615,1600,57.707849
-43.83163,1600,58.565793
-46.123843,1600,59.418683
-25.64555,1600,71.921661
19.959286,1600,72.766206
105.133442,1600,73.622987
105.253127,1600,74.475938
99.216097,1600,75.330678
128.331461,1600,87.739887
136.765415,1600,88.606188
120.871408,1600,89.466767
131.440322,1600,90.323601
116.538295,1600,91.177902
125.922984,1600,103.433375
121.319438,1600,104.286933
123.401527,1600,105.146251
115.986146,1600,105.993592
128.501598,1600,106.842359
178.662535,1600,119.120478
59.981326,1343,119.857783
152.889322,1600,120.710677
159.498459,1600,121.557845
1.947966,1185,122.191053
0.183954,711,133.29748
3.006973,745,133.692728
35.309504,971,134.211512
205.879981,1600,135.066214
207.145161,1600,135.918735
224.353339,1600,148.2806
178.391008,1600,149.128623
223.545623,1600,149.976594
236.038275,1600,150.825617
-18.756194,620,151.155875
195.790329,1600,163.429127
195.072858,1600,164.284215
213.082174,1600,165.13566
179.438523,1600,165.995929
164.929841,1600,166.852018
226.666646,1600,179.167162
207.135191,1600,180.022125
216.158011,1600,180.885311
71.236374,1487,181.680201
205.211296,1600,182.534698
179.45598,1600,194.900109
200.725827,1600,195.767818
45.883203,1391,196.532801
199.808142,1600,197.379488
202.904464,1600,198.222534
197.656976,1600,210.472489
206.745001,1600,211.30421
205.004206,1600,212.136475
129.778918,1600,212.965826
205.966575,1600,213.792827
214.320325,1600,225.771914
210.771348,1600,226.615627
173.631625,1600,227.46459
210.397971,1600,228.304847
208.887503,1600,229.146502
240.731987,1600,241.377923
84.442426,1550,242.188377
240.311931,1600,243.025091
227.814296,1600,243.861034
232.42656,1600,244.695562
253.228742,1600,256.771511
114.234251,1363,257.48596
204.082819,1600,258.328265
229.139287,1600,259.164623
72.254995,1360,259.875855
5.661361,673,270.649656
235.03641,1600,271.489876
239.818435,1600,272.323694
66.958912,997,272.845917
250.092792,1600,273.696461
220.96727,1600,285.795591
218.180842,1600,286.632082
53.972975,1115,287.219082
227.151632,1600,288.062291
243.678204,1600,288.896831
-12.877794,644,300.469465
221.332093,1600,301.308827
-19.434786,618,301.632913
223.083937,1600,302.477864
10.641167,776,302.887935
111.731558,1598,314.857745
222.056906,1600,315.693269
228.59286,1600,316.526888
228.121587,1600,317.354727
213.615364,1600,318.184959
-9.608263,684,329.71933
-35.364834,535,330.002853
236.284668,1600,330.845935
29.532264,847,331.293227
251.092723,1588,332.129587
-25.310616,497,343.683018
-16.218048,526,343.957946
-48.446455,366,344.151135
-25.889168,502,344.415313
-43.248549,417,344.633228
259.629616,1546,356.620723
65.827579,1311,357.299469
232.622854,1600,358.125764
-79.167011,160,358.210256
-63.208353,266,358.350359
-0.604174,625,369.918874
-53.23924,329,370.091696
-90.371253,132,370.161602
1.073077,844,370.604201
-24.032694,588,370.912253
0.88322,595,381.633761
-72.754789,341,381.81236
25.948153,713,382.187012
-75.642707,206,382.295802
-46.624293,347,382.481147
24.23933,1167,394.209544
-53.826435,346,394.389491
-84.281959,193,394.490407
-28.75515,460,394.728867
6.032081,1250,395.375408
600,216.13674
139.69962,1600,218.058252
140.097344,1600,219.240888
145.668768,1600,221.169024
144.614861,1600,223.092404
130.945657,1600,229.277192
159.363714,1600,231.243831
159.52106,1600,232.431895
161.451531,1600,234.500513
156.649922,1600,236.453148
154.500108,1600,238.404383
155.712447,1600,240.354806
163.304983,1600,245.709134
139.353292,1600,247.678355
170.287621,1600,249.618319
151.114043,1600,251.55332
168.167477,1600,252.735054
141.929277,1600,254.690414
143.089549,1600,260.588284
144.864258,1600,262.556378
173.68529,1600,264.495635
166.100058,1600,265.680408
-92.43967,191,265.823108
-26.352332,736,267.133478
175.123959,1600,269.02798
170.3014,1600,270.206364
167.472724,1600,275.543118
167.463049,1600,277.511088
169.988764,1600,279.46429
175.973652,1600,280.656571
-11.937635,828,282.035791
159.896622,1600,283.98625
178.355983,1600,289.132917
169.102408,1600,291.079978
155.921603,1600,293.049978
-69.995319,267,293.248077
158.294368,1600,295.178799
173.798308,1600,297.125554
174.530831,1600,298.306303
175.268277,1600,303.026295
172.30641,1600,304.965561
186.38596,1600,306.907123
170.244467,1600,308.831581
179.049903,1600,310.002975
174.630224,1600,311.924965
-70.19296,376,312.202278
183.496617,1600,318.304124
166.856076,1600,320.240947
181.747748,1600,322.165348
186.897793,1600,323.335557
169.695944,1600,325.26922
158.486171,1600,327.238133
179.638655,1600,329.176647
170.858101,1600,333.875165
184.33341,1600,335.053682
188.483797,1600,337.035748
163.125399,1600,339.061781
180.079864,1600,340.996485
190.886341,1600,342.171019
191.637451,1600,345.346365
-47.261473,517,346.496346
194.324933,1600,347.681578
193.559685,1600,349.624046
189.060275,1600,351.599344
186.432271,1600,353.532197
52.766013,1335,354.511495
186.455626,1600,358.948426
-16.519163,773,359.532685
-96.984981,133,360.391215
189.066548,1600,361.570407
160.511941,1600,363.508307
171.891579,1600,365.4685
193.716843,1600,367.410142
80.270495,1546,368.555601
97.548052,1571,371.821474
194.031029,1600,373.786103
167.337205,1600,375.676907
190.868854,1600,377.597254
183.80701,1600,378.789394
-61.061614,353,379.053147
191.077472,1600,381.003357
193.92899,1600,384.119873
203.219123,1600,386.05842
20.366109,976,386.774382
32.108682,1203,388.418401
-22.210202,596,388.858269
-38.320062,685,390.126868
203.024391,1600,391.31611
205.258128,1600,393.19846
63.386748,984,395.983762
