time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/explained_variance,train/std,train/loss,eval/mean_ep_length,eval/mean_reward
1,1117,1,287.42857142857144,2048,-106.77325328571429,,,,,,,,,,,,,
2,929,4,451.5,4096,-106.236672125,-5.67940720319748,10,2.4793010080233215,0.2,0.0038502892,-0.0073960696579888465,0.014013671875,3e-05,-0.04527926445007324,1.0019642114639282,0.7104566693305969,,
3,897,6,398.2857142857143,6144,-107.55432049999999,-5.684025770425796,20,0.1284601771621965,0.2,0.005003513,-0.008745953807374463,0.029833984375,3e-05,-0.8225085735321045,1.0019564628601074,-0.024226045235991478,,
4,884,9,428.4117647058824,8192,-107.82556035294118,-5.685123306512833,30,0.9368093467317522,0.2,0.0033257622,-0.006717162777204066,0.00888671875,3e-05,0.391745924949646,1.0028572082519531,0.029424544423818588,,
,,,,10000,,-5.687252673506737,40,0.49138735681772233,0.2,0.0058125807,-0.007218145779916085,0.04013671875,3e-05,0.18109208345413208,1.0029447078704834,-0.029167264699935913,100.2,-93.03536
5,849,12,471.8421052631579,10240,-108.51805036842104,,,,,,,,,,,,,
6,847,14,486.22727272727275,12288,-109.1031239090909,-5.688746975362301,50,0.35017488736193625,0.2,0.0076531526,-0.009111174716963433,0.053955078125,3e-05,-0.2758439779281616,1.0035537481307983,-0.01715947687625885,,
7,849,16,536.7692307692307,14336,-112.10178357692308,-5.68980527818203,60,0.576700963289477,0.2,0.005675478,-0.008553002175176516,0.024755859375,3e-05,0.5715091228485107,1.003669261932373,0.10774989426136017,,
8,848,19,526.9,16384,-111.83752136666666,-5.691363687813282,70,0.6690619973931462,0.2,0.0051412126,-0.009018958723754623,0.01533203125,3e-05,0.1780768632888794,1.004389762878418,0.038583554327487946,,
9,844,21,546.875,18432,-111.50982309375,-5.694919508695603,80,0.7141320245806128,0.2,0.0068913456,-0.010684112799935974,0.03681640625,3e-05,0.5599889755249023,1.0051910877227783,0.15863445401191711,,
,,,,20000,,-5.696944804489613,90,0.24266023125965147,0.2,0.0058152326,-0.007497959306056146,0.023291015625,3e-05,0.5786965489387512,1.0053702592849731,-0.01186041533946991,1600.0,-20.1607988
10,700,29,564.3235294117648,20480,-111.52545661764707,,,,,,,,,,,,,
