time/fps,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/ent_coef,eval/mean_ep_length,eval/mean_reward
4871,0,849.0,4,3396,-90.7388035,,,,,,,,
985,6,842.125,8,6737,-92.494386375,864,-35.6827654838562,5.740173199214041,-1.7072354294359684,0.0003,0.7755487281829119,,
,,,,10000,,2496,-65.25926446914673,2.1938967034220695,-4.794491276144981,0.0003,0.47726425155997276,1600.0,-13.5991132
415,30,1043.5833333333333,12,12523,-98.12923350000001,3744,-72.2789146900177,1.2380859907716513,-6.798877760767937,0.0003,0.33152692951261997,,
383,41,991.5,16,15864,-97.8805198125,5408,-69.47806763648987,2.32307717949152,-9.03561583161354,0.0003,0.20512825390323997,,
379,43,817.15,20,16343,-99.19721935,5664,-68.18132758140564,5.145972883328795,-9.518237709999084,0.0003,0.19023923249915242,,
372,45,712.25,24,17094,-101.41087858333333,6048,-66.51201009750366,9.797022823244333,-9.510428100824356,0.0003,0.1707007633522153,,
371,46,620.1785714285714,28,17365,-102.00879278571428,6176,-65.54086971282959,7.845849551260471,-9.599482357501984,0.0003,0.16480642557144165,,
369,47,550.78125,32,17625,-102.20555165625001,6304,-64.9179722070694,11.206966776400805,-9.784828096628189,0.0003,0.15918574202805758,,
368,48,496.6388888888889,36,17879,-102.0308190277778,6432,-64.08586978912354,4.6277050115168095,-8.944405511021614,0.0003,0.15378193045035005,,
367,49,454.95,40,18198,-101.99127465,6592,-62.990893721580505,13.138043858110905,-9.306709319353104,0.0003,0.1475370991975069,,
365,50,421.95454545454544,44,18566,-102.15817249999999,6784,-61.65734934806824,6.911158334463835,-9.587824046611786,0.0003,0.1401131609454751,,
363,53,404.7708333333333,48,19429,-103.55216916666666,7200,-59.85878765583038,5.98589850962162,-9.720582693815231,0.0003,0.12505634664557874,,
361,54,379.5576923076923,52,19737,-103.69381807692307,7360,-57.94729936122894,13.081408768892288,-9.406888037919998,0.0003,0.11979793943464756,,
,,,,20000,,7488,-56.72439765930176,9.42160751670599,-9.414417803287506,0.0003,0.11585753178223968,70.6,-109.4831506
359,56,359.125,56,20111,-103.73297280357143,7552,-55.76095461845398,7.573064275085926,-9.671962976455688,0.0003,0.1139435488730669,,
358,56,340.1666666666667,60,20410,-103.99427605,7680,-54.20474100112915,6.302886128425598,-9.145554274320602,0.0003,0.11021560383960605,,
354,61,342.9375,64,21948,-105.076597890625,8448,-48.316524505615234,6.292494095861912,-9.03093808889389,0.0003,0.0909074570517987,,
349,69,357.38235294117646,68,24302,-105.82594441176471,9632,-43.151585817337036,3.00585263594985,-9.451257780194283,0.0003,0.06666079675778747,,
340,87,413.0138888888889,72,29737,-105.7407244861111,12352,-34.56044280529022,1.434409473091364,-7.61145493388176,0.0003,0.03340569802094251,,
,,,,30000,,12480,-34.02399241924286,1.8375732973217964,-6.790108501911163,0.0003,0.03236496029421687,47.0,-122.970314
334,103,457.39473684210526,76,34762,-108.73459443421052,14880,-26.588881134986877,2.546136789023876,-2.773900505155325,0.0003,0.018949203309603035,,
332,114,476.5375,80,38123,-108.7283906875,16544,-26.163309574127197,1.0619265139102936,-0.10710974037647247,0.0003,0.015158735797740519,,
,,,,40000,,17472,-29.929751813411713,1.371963920071721,0.5344060650095344,0.0003,0.01693297183373943,58.6,-112.42287680000001
327,135,530.0357142857143,84,44523,-108.75150310714285,19744,-34.21644777059555,3.5900395698845387,-1.633365144021809,0.0003,0.018224914267193526,,
,,,,50000,,22496,-26.79444509744644,1.7278308840468526,-0.3147212518379092,0.0003,0.014115577359916642,1600.0,-130.240012
316,161,578.6704545454545,88,50923,-108.50432130681817,22944,-25.454991340637207,2.270156259648502,-1.1012761136516929,0.0003,0.013705803052289411,,
314,180,618.3695652173913,92,56890,-109.46740907608694,25920,-16.10554403066635,0.5133922505192459,-2.111940812319517,0.0003,0.008267725759651512,,
314,186,611.625,96,58716,-109.33214580208335,26848,-13.382767975330353,1.4389503537677228,0.20206520520150661,0.0003,0.007400341113680042,,
314,188,590.53,100,59053,-109.09177116000001,27008,-12.739815175533295,1.938700808212161,0.7176117682829499,0.0003,0.007403437150060199,,
313,189,560.01,104,59397,-109.79927514,27200,-11.963357388973236,0.5092070861719549,2.0022400259040296,0.0003,0.007400575137580745,,
,,,,60000,,27488,-10.92141330242157,0.5497799222357571,1.9478095481172204,0.0003,0.007604350772453472,89.0,-108.7095558
313,192,535.48,108,60285,-110.17847566,27616,-10.6866395175457,2.1801815424114466,-2.438650708645582,0.0003,0.0077077991591067985,,
313,193,481.13,112,60636,-110.02694061,27808,-9.856339365243912,0.7416325532831252,-0.3652509693056345,0.0003,0.007605429767863825,,
313,194,451.49,116,61013,-110.29282632,28000,-9.076545089483261,0.7980290837585926,-1.6775995576754212,0.0003,0.0072592383658047765,,
313,198,457.93,120,62136,-110.65923664,28544,-6.875141985714436,0.751594859175384,-1.583884911146015,0.0003,0.006604868278373033,,
312,211,489.16,124,66010,-110.55874069000001,30496,-2.8764594607055187,0.7100974228233099,-0.9842836987227201,0.0003,0.005366797427996062,,
,,,,70000,,32480,-0.6187485698610544,0.5731605398468673,0.8115217192098498,0.0003,0.004036475656903349,1600.0,-43.453929200000005
305,237,550.45,128,72410,-110.21506023000002,33696,-0.21444934327155352,1.6627830537036061,-3.299725852906704,0.0003,0.0036882237618556246,,
304,253,597.06,132,77331,-109.88415253,36160,0.7986706863157451,0.359033162239939,0.282865016721189,0.0003,0.003429683012655005,,
,,,,80000,,37472,1.6828508339822292,0.39179001888260245,1.345204222947359,0.0003,0.003178273982484825,1600.0,-65.0689798
300,279,658.52,136,83731,-109.4913536,39360,2.3361971490085125,0.37905580503866076,-0.5529773496091366,0.0003,0.00375965578132309,,
300,279,657.41,140,83939,-110.15819625000002,39456,2.234016625210643,0.35654337145388126,0.5029323473572731,0.0003,0.003728979871084448,,
300,280,656.26,144,84192,-110.77513831999998,39584,2.634913133457303,0.4923679353669286,2.614703186787665,0.0003,0.003770073759369552,,
300,281,649.6,148,84389,-110.61619009,39680,2.5916647389531136,0.3849962865933776,-0.29834763053804636,0.0003,0.0037429868752951734,,
,,,,90000,,42496,3.782674364745617,1.7440871186554432,-4.1188168209046125,0.0003,0.0036524165407172404,1600.0,-63.4279994
295,306,710.52,152,90789,-110.39957107000001,42880,3.8349515795707703,0.430686020758003,0.9834378655068576,0.0003,0.003345688928675372,,
296,327,770.78,156,97189,-108.66960818000001,46080,3.8419793248176575,0.3703171103261411,0.7674203044734895,0.0003,0.004323105487856083,,
,,,,100000,,47488,4.202077783644199,1.602639603894204,0.5789829841814935,0.0003,0.0038064308755565435,1600.0,-55.785462200000005
293,348,818.08,160,102218,-107.6111897,48608,4.094532907009125,1.429433086887002,1.1480314917862415,0.0003,0.004075498087331653,,
293,369,866.7,164,108618,-104.74168907999997,51808,3.900500103831291,0.34403840242885053,0.44872393924742937,0.0003,0.004229647689498961,,
,,,,110000,,52480,3.744205877184868,0.3630946322809905,0.4225956769660115,0.0003,0.004179517418378964,1600.0,-54.37581759999999
291,394,907.16,168,115018,-102.29743678000001,55008,3.2840482592582703,0.2168983754236251,0.719342889264226,0.0003,0.003784606022236403,,
,,,,120000,,57472,3.6449125334620476,0.2919246732490137,-1.4813974904827774,0.0003,0.0029488733780453913,1022.0,-65.47999899999999
290,418,916.81,172,121418,-100.60157272000001,58208,3.898090772330761,0.22922119265422225,1.2241546623408794,0.0003,0.002917490819527302,,
290,432,908.13,176,125575,-98.29875759000002,60288,4.122470781207085,0.25061767525039613,-1.6075147306546569,0.0003,0.002695408278668765,,
,,,,130000,,62496,4.581936910748482,0.31925278017297387,0.8836838379502296,0.0003,0.002457154871081002,1050.6,-114.78077600000002
289,455,938.52,180,131975,-96.40910396999999,63488,4.530186556279659,0.31916068913415074,-1.0658367052674294,0.0003,0.0023182381919468753,,
290,471,923.69,184,136892,-94.96849472000002,65920,4.120832525193691,0.2673505258280784,0.296017212793231,0.0003,0.0024203132998081855,,
,,,,140000,,67488,4.111986130475998,0.5183175443671644,-2.557398620992899,0.0003,0.0025786531405174173,1600.0,-92.808487
288,492,912.19,188,142142,-93.40002252999999,68544,4.1611978858709335,0.3074197613168508,-1.0340946523938328,0.0003,0.0025480685580987483,,
289,508,902.08,192,147098,-91.45044065999998,71040,3.9536299407482147,0.38373659970238805,-0.17244140477851033,0.0003,0.002501126116840169,,
,,,,150000,,72480,4.065400548279285,0.30723558156751096,1.2288011172786355,0.0003,0.002545232287957333,1309.6,-81.867494
287,523,917.96,196,150512,-90.36378929,72736,4.05902212113142,0.4008377571590245,0.4823468872345984,0.0003,0.002525803829485085,,
288,544,978.59,200,156912,-88.79116227,75936,4.196782298386097,0.29385011922568083,-1.2991152200847864,0.0003,0.0024950939332484268,,
,,,,160000,,77472,4.33581055700779,0.2665113101247698,3.053809693083167,0.0003,0.00259040263335919,1600.0,-50.3434938
